ID_EXPERIMENTO,ID_SUSTANCIA,CANTIDAD
35,11,388.57312754707647
10,36,340.1051121188677
19,50,433.1976403837997
23,30,261.42980322656774
42,43,571.8820024940692
41,1,615.3588154645012
1,30,357.5914047566232
14,43,156.90439541957247
18,44,334.0760338074321
30,14,411.2724037403232
6,1,201.39402117458863
8,26,279.63911030656067
3,47,614.1431186243042
14,22,414.2870204119036
3,1,448.5106292033126
10,12,205.914075206139
6,46,437.5572049023891
4,35,246.02904520435692
13,46,594.0174294442365
37,13,457.3464774102986
48,25,588.4849539039791
5,25,661.9892805588049
48,43,525.4007064214345
27,1,152.0811005240311
50,15,544.6994531692872
40,7,486.6263318774687
50,1,529.8968448186519
6,29,208.0303619523774
14,42,397.83542627194464
40,9,681.8834548495487
42,42,418.1513511405156
1,29,418.06841020343614
31,11,560.0710010903979
7,18,230.145645178848
7,7,564.2994218853551
36,6,163.84084262146274
31,50,232.89321487735413
15,9,554.7051435258256
6,9,154.78214547699363
38,47,581.4719912861046
43,40,598.8094327683579
15,41,131.01841117136112
16,18,118.8832737998296
12,16,557.6575257823862
13,10,513.944438013444
35,4,138.148776086294
29,1,549.4513977269927
14,15,520.1359277504257
24,11,384.77896179815326
2,6,591.0554149050558
10,11,281.0514453431544
43,47,114.63367912548868
28,17,242.6977242412264
36,13,350.9463200711921
32,1,451.4861310413621
4,1,451.0596850541414
17,16,355.7391498789539
20,49,609.396118994464
41,29,118.10003753205714
4,2,176.9635425544411
46,8,152.70508314113184
47,23,494.1052690214213
17,46,441.6923205678068
20,16,419.8706585037533
23,3,120.97341738104056
5,17,116.6433576083482
47,25,670.2805895410081
45,6,446.8437778221285
42,27,118.5155467355443
39,16,228.87052466196155
31,45,636.628312984281
3,21,401.8259768532102
17,21,340.8908444569781
12,8,257.593567662285
17,26,322.6520483098675
7,29,529.4404657836078
22,42,290.1988799268574
8,14,446.6943537281981
25,13,109.29640464624318
27,50,511.7006140543366
22,9,443.3621942660806
5,28,252.42680535259825
25,44,513.4606704024627
44,38,244.37774359485127
49,21,270.1477973688239
35,27,344.3786117426952
1,35,536.4909444995138
9,25,574.545722273182
29,48,407.84878355758127
39,3,556.3861943603658
46,27,625.6904399307646
4,14,394.408256369136
23,6,588.8079524161657
16,12,146.27510084079313
2,16,121.01464481270833
28,46,407.9244892750349
28,48,583.5248288464771
9,3,327.1456508944053
13,45,540.0622200859227
49,31,416.15189281434925
